title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Luxurious 5BHK Studio in Nirvana Country","Gurgaon","Nirvana Country","5","1861","5","16","23","Semi-Furnished","South-West","Studio","Rent","91259","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Apartment in Manesar","Gurgaon","Manesar","5","2472","7","12","23","Semi-Furnished","North","Apartment","Buy","12253336","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in DLF Phase 2","Gurgaon","DLF Phase 2","2","901","11","13","8","Furnished","South-West","Apartment","Buy","13568234","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Nirvana Country","Gurgaon","Nirvana Country","1","621","10","19","13","Furnished","East","Villa","Buy","6148538","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Udyog Vihar","Gurgaon","Udyog Vihar","3","1126","7","12","12","Unfurnished","North","Apartment","Buy","8727527","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Nirvana Country","Gurgaon","Nirvana Country","1","1022","7","19","19","Furnished","West","Apartment","Buy","9473322","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in MG Road","Gurgaon","MG Road","3","1280","19","28","3","Furnished","South-East","Villa","Rent","72140","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Vatika City","Gurgaon","Vatika City","3","996","","1","8","Furnished","South-West","Independent House","Buy","10163562","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in MG Road","Gurgaon","MG Road","2","1297","10","25","9","Unfurnished","West","Independent House","Buy","12581928","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Udyog Vihar","Gurgaon","Udyog Vihar","4","2001","","6","21","Semi-Furnished","South-West","Builder Floor","Buy","14447833","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Nirvana Country","Gurgaon","Nirvana Country","2","847","16","22","5","Unfurnished","North-East","Studio","Buy","8258914","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Sector 56","Gurgaon","Sector 56","1","786","3","11","18","Furnished","North-East","Apartment","Rent","17700","","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in DLF Phase 2","Gurgaon","DLF Phase 2","2","782","2","9","17","Semi-Furnished","North","Villa","Rent","52711","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Palam Vihar","Gurgaon","Palam Vihar","4","2160","15","18","18","Semi-Furnished","South","Studio","Buy","15539841","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Studio in DLF Phase 2","Gurgaon","DLF Phase 2","5","2234","17","18","18","Furnished","North","Studio","Buy","27132795","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Nirvana Country","Gurgaon","Nirvana Country","4","1977","17","24","19","Furnished","South-East","Apartment","Rent","78637","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Sector 29","Gurgaon","Sector 29","4","1407","9","16","12","Furnished","South-East","Builder Floor","Buy","13713641","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Manesar","Gurgaon","Manesar","1","936","2","5","20","Furnished","North-West","Studio","Buy","5374945","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Udyog Vihar","Gurgaon","Udyog Vihar","2","1112","19","22","14","Furnished","East","Builder Floor","Buy","9941515","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Udyog Vihar","Gurgaon","Udyog Vihar","4","1594","5","20","","Unfurnished","East","Apartment","Rent","66270","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Golf Course Road","Gurgaon","Golf Course Road","2","1316","15","27","12","Furnished","North-West","Studio","Buy","20434924","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Sector 29","Gurgaon","Sector 29","1","1001","4","14","15","Furnished","West","Villa","Buy","9851897","true","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in DLF Phase 2","Gurgaon","DLF Phase 2","1","971","20","24","7","Semi-Furnished","South-East","Independent House","Buy","12563775","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Apartment in Sector 56","Gurgaon","Sector 56","1","957","2","8","19","Unfurnished","South-West","Apartment","Buy","6603373","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Udyog Vihar","Gurgaon","Udyog Vihar","2","1472","18","24","10","Unfurnished","South-West","Builder Floor","Buy","11565421","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Golf Course Road","Gurgaon","Golf Course Road","2","960","15","16","22","Semi-Furnished","East","Studio","Buy","10953429","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Apartment in DLF Phase 2","Gurgaon","DLF Phase 2","5","2206","13","18","14","Semi-Furnished","West","Apartment","Buy","24805344","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Cyber City","Gurgaon","Cyber City","3","1400","","14","15","Furnished","North","Studio","Buy","15857373","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Nirvana Country","Gurgaon","Nirvana Country","3","1848","7","22","24","Unfurnished","North-West","Apartment","Buy","14112830","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in DLF Phase 1","Gurgaon","DLF Phase 1","3","1602","7","7","10","Furnished","South","Independent House","Buy","22480356","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in DLF Phase 2","Gurgaon","DLF Phase 2","4","1683","1","13","11","Furnished","South","Studio","Buy","20761187","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Vatika City","Gurgaon","Vatika City","3","1166","8","10","8","Semi-Furnished","East","Villa","Rent","58287","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Studio in DLF Phase 2","Gurgaon","DLF Phase 2","5","2438","13","25","5","Furnished","North-West","Studio","Rent","128564","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Studio in Vatika City","Gurgaon","Vatika City","5","2276","12","26","10","Unfurnished","East","Studio","Rent","90259","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Apartment in MG Road","Gurgaon","MG Road","5","2390","8","11","1","Unfurnished","South","Apartment","Rent","101263","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Palam Vihar","Gurgaon","Palam Vihar","3","1234","10","25","10","Unfurnished","South-East","Villa","Rent","42354","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Manesar","Gurgaon","Manesar","4","1422","10","13","25","Furnished","West","Independent House","Buy","7704205","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Vatika City","Gurgaon","Vatika City","3","948","1","9","8","Unfurnished","North-East","Studio","Buy","8135478","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in DLF Phase 1","Gurgaon","DLF Phase 1","2","1025","1","10","11","Furnished","West","Independent House","Rent","53096","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Sohna Road","Gurgaon","Sohna Road","2","1300","18","31","5","Furnished","North-West","Independent House","Rent","35700","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Manesar","Gurgaon","Manesar","2","1180","11","15","25","Unfurnished","North-East","Builder Floor","Rent","22858","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in DLF Phase 1","Gurgaon","DLF Phase 1","4","1124","12","21","","Unfurnished","East","Villa","Buy","16036925","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Palam Vihar","Gurgaon","Palam Vihar","4","1483","6","7","5","Furnished","North","Villa","Buy","13384713","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Manesar","Gurgaon","Manesar","2","1375","","5","13","Furnished","East","Apartment","Buy","7903951","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in South City","Gurgaon","South City","2","700","13","21","12","Semi-Furnished","North-East","Villa","Rent","31755","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Manesar","Gurgaon","Manesar","4","1194","12","23","8","Furnished","East","Builder Floor","Buy","8222109","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Golf Course Road","Gurgaon","Golf Course Road","4","1733","2","15","3","Semi-Furnished","North-West","Studio","Buy","27342176","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Manesar","Gurgaon","Manesar","4","1657","13","14","20","Unfurnished","South","Independent House","Buy","8389965","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Manesar","Gurgaon","Manesar","3","873","16","22","15","Semi-Furnished","West","Apartment","Buy","4690686","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Cyber City","Gurgaon","Cyber City","4","1620","","7","20","Semi-Furnished","South","Builder Floor","Rent","86282","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Cyber City","Gurgaon","Cyber City","2","940","13","16","15","Furnished","East","Apartment","Rent","50782","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in DLF Phase 1","Gurgaon","DLF Phase 1","3","1354","3","13","11","Semi-Furnished","North-East","Villa","Buy","17002061","","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in DLF Phase 1","Gurgaon","DLF Phase 1","4","1820","5","13","14","Furnished","South-West","Builder Floor","Buy","23337531","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in DLF Phase 2","Gurgaon","DLF Phase 2","2","1153","19","19","7","Furnished","East","Independent House","Buy","17192365","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in Palam Vihar","Gurgaon","Palam Vihar","5","1778","3","14","13","Furnished","South","Villa","Buy","12674940","","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Villa in Nirvana Country","Gurgaon","Nirvana Country","5","1695","13","25","","Semi-Furnished","North-West","Villa","Buy","18727904","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Builder Floor in Sector 56","Gurgaon","Sector 56","1","1040","18","26","22","Unfurnished","South-West","Builder Floor","Buy","7520198","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Builder Floor in DLF Phase 1","Gurgaon","DLF Phase 1","1","636","2","6","24","Semi-Furnished","East","Builder Floor","Buy","6596970","","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Apartment in Sohna Road","Gurgaon","Sohna Road","1","785","20","32","12","Semi-Furnished","North-West","Apartment","Buy","5546981","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Sector 14","Gurgaon","Sector 14","1","1061","19","32","1","Semi-Furnished","North","Studio","Rent","19584","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Udyog Vihar","Gurgaon","Udyog Vihar","3","1440","14","20","5","Furnished","North-East","Builder Floor","Buy","15281953","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Palam Vihar","Gurgaon","Palam Vihar","4","1628","16","22","23","Furnished","West","Independent House","Buy","10702102","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Manesar","Gurgaon","Manesar","2","1459","4","18","3","Unfurnished","East","Apartment","Rent","23393","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in MG Road","Gurgaon","MG Road","2","818","19","24","9","Furnished","West","Independent House","Buy","9391869","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Sector 29","Gurgaon","Sector 29","1","1076","7","12","14","Furnished","East","Independent House","Buy","10467467","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Builder Floor in Sector 56","Gurgaon","Sector 56","5","1772","15","22","8","Furnished","East","Builder Floor","Buy","16437090","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in South City","Gurgaon","South City","4","1486","10","24","25","Furnished","South","Independent House","Buy","10147414","","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Builder Floor in South City","Gurgaon","South City","5","1711","10","17","1","Unfurnished","West","Builder Floor","Buy","16285107","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Sector 29","Gurgaon","Sector 29","2","1037","19","26","5","Unfurnished","West","Studio","Buy","9846059","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in South City","Gurgaon","South City","2","1415","19","19","","Unfurnished","North-East","Independent House","Buy","12908052","true","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in DLF Phase 1","Gurgaon","DLF Phase 1","1","1116","9","12","6","Semi-Furnished","South-West","Independent House","Buy","15645588","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in DLF Phase 2","Gurgaon","DLF Phase 2","3","1364","6","17","22","Semi-Furnished","South-West","Villa","Buy","13020528","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in MG Road","Gurgaon","MG Road","1","862","6","6","6","Unfurnished","North-West","Studio","Rent","20538","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Sector 29","Gurgaon","Sector 29","3","1426","10","18","10","Furnished","East","Studio","Buy","15964094","","true","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Studio in Golf Course Road","Gurgaon","Golf Course Road","5","1544","9","15","12","Semi-Furnished","South-West","Studio","Buy","22580461","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Independent House in Udyog Vihar","Gurgaon","Udyog Vihar","5","1647","12","23","25","Furnished","South","Independent House","Buy","13319039","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Sector 14","Gurgaon","Sector 14","3","937","19","24","3","Furnished","North","Studio","Buy","9728861","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in South City","Gurgaon","South City","4","1931","20","31","3","Semi-Furnished","West","Apartment","Rent","67909","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in DLF Phase 1","Gurgaon","DLF Phase 1","2","927","8","14","5","Semi-Furnished","East","Villa","Buy","13242724","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Cyber City","Gurgaon","Cyber City","4","1794","14","20","6","Semi-Furnished","West","Studio","Buy","20870721","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Sector 29","Gurgaon","Sector 29","1","693","17","23","24","Semi-Furnished","North-West","Independent House","Rent","17992","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Udyog Vihar","Gurgaon","Udyog Vihar","1","1043","20","24","25","Unfurnished","North-East","Villa","Rent","17256","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in DLF Phase 2","Gurgaon","DLF Phase 2","1","576","13","19","17","Semi-Furnished","South","Independent House","Buy","6985865","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Palam Vihar","Gurgaon","Palam Vihar","2","1342","14","29","18","Semi-Furnished","North-West","Apartment","Rent","29892","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Golf Course Road","Gurgaon","Golf Course Road","3","888","10","25","5","Furnished","South","Independent House","Rent","97125","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Sector 29","Gurgaon","Sector 29","1","1052","","13","7","Unfurnished","East","Villa","Buy","9487449","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Sector 14","Gurgaon","Sector 14","4","2145","4","17","20","Furnished","South","Studio","Buy","18715053","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Cyber City","Gurgaon","Cyber City","2","751","18","20","14","Furnished","South","Independent House","Rent","52003","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Palam Vihar","Gurgaon","Palam Vihar","2","902","12","27","22","Furnished","South-West","Builder Floor","Buy","5807314","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in South City","Gurgaon","South City","1","779","10","13","1","Semi-Furnished","South","Villa","Buy","7290716","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Independent House in Sector 14","Gurgaon","Sector 14","4","1433","1","5","12","Semi-Furnished","South","Independent House","Buy","13101532","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Cyber City","Gurgaon","Cyber City","1","559","","3","16","Furnished","South-East","Independent House","Buy","6499221","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Udyog Vihar","Gurgaon","Udyog Vihar","3","928","16","21","8","Semi-Furnished","North","Studio","Buy","8482663","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Vatika City","Gurgaon","Vatika City","3","1117","15","17","25","Unfurnished","East","Independent House","Buy","8327310","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Golf Course Road","Gurgaon","Golf Course Road","2","1491","4","7","20","Unfurnished","South-East","Independent House","Buy","15786513","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in MG Road","Gurgaon","MG Road","3","1721","","12","25","Unfurnished","North-West","Apartment","Buy","14006414","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Udyog Vihar","Gurgaon","Udyog Vihar","3","1043","5","10","6","Semi-Furnished","South-East","Villa","Buy","9188043","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Sector 56","Gurgaon","Sector 56","2","1297","17","29","12","Unfurnished","North","Independent House","Buy","11069763","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Sector 56","Gurgaon","Sector 56","2","1129","3","11","12","Semi-Furnished","North-East","Apartment","Rent","35619","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Udyog Vihar","Gurgaon","Udyog Vihar","3","1440","5","20","23","Unfurnished","North-East","Villa","Buy","9937490","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Sector 14","Gurgaon","Sector 14","3","1674","17","21","11","Semi-Furnished","South-East","Apartment","Rent","55715","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in MG Road","Gurgaon","MG Road","2","894","","13","8","Unfurnished","North","Independent House","Rent","36846","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Cyber City","Gurgaon","Cyber City","1","615","8","15","9","Semi-Furnished","South-East","Independent House","Buy","7367176","","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Builder Floor in MG Road","Gurgaon","MG Road","1","820","","","18","Semi-Furnished","East","Builder Floor","Rent","20209","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Sector 29","Gurgaon","Sector 29","2","1356","6","20","9","Unfurnished","North-West","Independent House","Buy","11298089","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Sohna Road","Gurgaon","Sohna Road","4","1303","1","12","22","Unfurnished","North-West","Apartment","Buy","7665426","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Cyber City","Gurgaon","Cyber City","1","721","12","19","19","Furnished","South-East","Studio","Rent","26554","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in MG Road","Gurgaon","MG Road","2","1228","","9","17","Furnished","East","Villa","Buy","12213849","","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in MG Road","Gurgaon","MG Road","4","1019","5","16","21","Semi-Furnished","North-West","Apartment","Rent","87375","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in DLF Phase 2","Gurgaon","DLF Phase 2","3","1581","9","24","25","Furnished","West","Builder Floor","Buy","17056475","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Sector 56","Gurgaon","Sector 56","4","1403","14","26","24","Semi-Furnished","South-East","Builder Floor","Rent","66200","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in DLF Phase 2","Gurgaon","DLF Phase 2","3","1539","8","14","21","Unfurnished","North-West","Studio","Buy","16403255","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Sector 29","Gurgaon","Sector 29","2","823","10","10","23","Semi-Furnished","West","Villa","Rent","35356","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Studio in Manesar","Gurgaon","Manesar","4","1791","4","5","15","Unfurnished","East","Studio","Rent","49772","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Sector 14","Gurgaon","Sector 14","2","1172","6","16","15","Furnished","North-East","Independent House","Buy","11325108","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Vatika City","Gurgaon","Vatika City","2","1324","","13","15","Semi-Furnished","East","Studio","Buy","10580548","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in MG Road","Gurgaon","MG Road","3","1535","1","14","15","Unfurnished","North-East","Builder Floor","Rent","58458","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Sector 29","Gurgaon","Sector 29","3","1055","6","8","4","Furnished","North-East","Independent House","Buy","12347311","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Sector 14","Gurgaon","Sector 14","2","1299","15","27","4","Furnished","West","Independent House","Buy","13185417","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Sector 56","Gurgaon","Sector 56","1","1146","10","22","23","Semi-Furnished","South-East","Studio","Buy","7518531","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in South City","Gurgaon","South City","2","1139","10","25","15","Semi-Furnished","West","Independent House","Buy","9017807","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Uppal","Hyderabad","Uppal","2","1369","17","24","19","Semi-Furnished","West","Apartment","Buy","5647821","","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Independent House in Jubilee Hills","Hyderabad","Jubilee Hills","5","1349","14","18","1","Unfurnished","West","Independent House","Rent","91395","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Apartment in Gachibowli","Hyderabad","Gachibowli","5","1686","16","19","4","Furnished","North-East","Apartment","Buy","12471298","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Begumpet","Hyderabad","Begumpet","1","924","17","21","18","Semi-Furnished","East","Independent House","Buy","5396411","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Kondapur","Hyderabad","Kondapur","3","1629","17","28","5","Unfurnished","South-West","Independent House","Buy","10415644","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Begumpet","Hyderabad","Begumpet","3","1337","8","22","13","Semi-Furnished","South-East","Studio","Rent","42758","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Madhapur","Hyderabad","Madhapur","1","655","7","9","","Semi-Furnished","South","Independent House","Buy","4454664","","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Jubilee Hills","Hyderabad","Jubilee Hills","2","918","10","18","18","Furnished","East","Builder Floor","Buy","7598862","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Kondapur","Hyderabad","Kondapur","4","1522","3","13","7","Semi-Furnished","South","Studio","Buy","10158365","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in Dilsukhnagar","Hyderabad","Dilsukhnagar","4","2095","12","23","20","Unfurnished","North-West","Villa","Buy","7074193","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Uppal","Hyderabad","Uppal","3","1371","18","20","19","Furnished","South","Independent House","Buy","5684690","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in LB Nagar","Hyderabad","LB Nagar","3","1223","4","15","1","Unfurnished","East","Builder Floor","Buy","5815335","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in LB Nagar","Hyderabad","LB Nagar","2","1186","8","18","10","Unfurnished","South","Independent House","Rent","19507","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in LB Nagar","Hyderabad","LB Nagar","2","1135","16","30","","Unfurnished","North-West","Builder Floor","Buy","5171219","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Jubilee Hills","Hyderabad","Jubilee Hills","2","828","2","3","15","Unfurnished","North-East","Studio","Buy","6406879","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Kompally","Hyderabad","Kompally","3","1716","","10","17","Unfurnished","North-West","Apartment","Buy","6950956","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Madhapur","Hyderabad","Madhapur","4","1482","10","21","13","Semi-Furnished","West","Studio","Buy","8956953","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Begumpet","Hyderabad","Begumpet","2","1141","4","5","18","Furnished","West","Apartment","Buy","6712729","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Banjara Hills","Hyderabad","Banjara Hills","3","1366","2","13","16","Furnished","East","Villa","Buy","12480937","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Kompally","Hyderabad","Kompally","2","1252","2","6","19","Furnished","South","Studio","Rent","21434","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Jubilee Hills","Hyderabad","Jubilee Hills","3","1219","","1","","Furnished","West","Studio","Buy","13405459","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Gachibowli","Hyderabad","Gachibowli","2","1370","4","17","11","Unfurnished","North-East","Studio","Buy","8228606","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Madhapur","Hyderabad","Madhapur","3","1330","14","23","25","Unfurnished","North-East","Studio","Buy","6631796","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Kompally","Hyderabad","Kompally","1","1049","16","19","18","Unfurnished","South","Villa","Rent","9591","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Banjara Hills","Hyderabad","Banjara Hills","3","863","4","14","3","Semi-Furnished","North","Apartment","Buy","8124366","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Kondapur","Hyderabad","Kondapur","4","1902","9","18","2","Semi-Furnished","East","Apartment","Buy","13547073","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Banjara Hills","Hyderabad","Banjara Hills","3","983","","6","22","Furnished","North","Studio","Rent","66813","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Secunderabad","Hyderabad","Secunderabad","3","1732","15","24","3","Furnished","North-West","Villa","Buy","11424142","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Hitech City","Hyderabad","Hitech City","1","939","","5","12","Unfurnished","South","Builder Floor","Rent","15144","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Jubilee Hills","Hyderabad","Jubilee Hills","3","1205","4","19","","Unfurnished","North","Studio","Buy","10524468","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Madhapur","Hyderabad","Madhapur","3","1344","8","12","14","Furnished","East","Apartment","Rent","45160","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Uppal","Hyderabad","Uppal","2","1012","6","9","2","Furnished","South","Apartment","Buy","5490910","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Uppal","Hyderabad","Uppal","2","1111","17","19","23","Furnished","South-West","Independent House","Buy","4350570","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Madhapur","Hyderabad","Madhapur","2","971","15","28","12","Furnished","South-West","Builder Floor","Buy","6940779","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in Secunderabad","Hyderabad","Secunderabad","5","1876","7","8","10","Furnished","North","Villa","Buy","11554144","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in LB Nagar","Hyderabad","LB Nagar","4","1723","5","16","17","Semi-Furnished","West","Villa","Buy","6495249","true","","Rajesh Kumar","+91-9432109876"
